idx,id,title,url,date
1,DGu_4qFKepo,TBS_News_04-13_朝,https://www.youtube.com/watch?v=DGu_4qFKepo,unknown
2,7YgLV46-RfI,TBS_News_04-14_夜,https://www.youtube.com/watch?v=7YgLV46-RfI,unknown
3,ow8rOrjbiZQ,TBS_News_04-14_朝,https://www.youtube.com/watch?v=ow8rOrjbiZQ,unknown
4,UXefUlaRIoc,TBS_News_04-15_夜,https://www.youtube.com/watch?v=UXefUlaRIoc,unknown
5,In7TDVKI8rE,TBS_News_04-15_朝,https://www.youtube.com/watch?v=In7TDVKI8rE,unknown
6,zYs532qdXls,TBS_News_04-16_夜,https://www.youtube.com/watch?v=zYs532qdXls,unknown
7,saWGZJ-b5IA,TBS_News_04-16_朝,https://www.youtube.com/watch?v=saWGZJ-b5IA,unknown
8,ABgFx5O1SQw,TBS_News_04-17_夜,https://www.youtube.com/watch?v=ABgFx5O1SQw,unknown
9,wg1wTS0Js3k,TBS_News_04-17_朝,https://www.youtube.com/watch?v=wg1wTS0Js3k,unknown
10,NkJoZw2b1e4,TBS_News_04-18_夜,https://www.youtube.com/watch?v=NkJoZw2b1e4,unknown
11,AdeaVFaWIsw,TBS_News_04-18_朝,https://www.youtube.com/watch?v=AdeaVFaWIsw,unknown
12,bqlyCh5clu4,TBS_News_04-19_昼,https://www.youtube.com/watch?v=bqlyCh5clu4,unknown
